Wind power SE in MWh;;;;;;
Data was last updated 22-12-2017;;;;;;
;Hours;SE1;SE2;SE3;SE4;SE
01.01.2016;00 - 01;420;1247;432;208;2307
01.01.2016;01 - 02;416;1214;419;187;2237
01.01.2016;02 - 03;417;1227;378;177;2200
01.01.2016;03 - 04;424;1232;357;173;2187
01.01.2016;04 - 05;412;1245;326;161;2143
01.01.2016;05 - 06;409;1272;355;126;2161
01.01.2016;06 - 07;385;1286;373;97;2141
01.01.2016;07 - 08;370;1265;385;101;2120
01.01.2016;08 - 09;362;1239;395;138;2134
01.01.2016;09 - 10;387;1254;422;163;2226
01.01.2016;10 - 11;390;1239;478;201;2308
01.01.2016;11 - 12;367;1245;434;184;2229
01.01.2016;12 - 13;343;1222;387;150;2102
01.01.2016;13 - 14;341;1192;395;137;2066
01.01.2016;14 - 15;355;1166;395;146;2061
01.01.2016;15 - 16;375;1152;402;175;2104
01.01.2016;16 - 17;376;1167;376;197;2116
01.01.2016;17 - 18;369;1123;382;227;2102
01.01.2016;18 - 19;363;1118;391;269;2142
01.01.2016;19 - 20;367;1080;413;377;2237
01.01.2016;20 - 21;339;1001;491;396;2227
01.01.2016;21 - 22;320;885;544;426;2175
01.01.2016;22 - 23;301;745;579;428;2053
01.01.2016;23 - 00;286;620;583;497;1986
02.01.2016;00 - 01;235;512;573;678;1998
02.01.2016;01 - 02;231;469;598;742;2040
02.01.2016;02 - 03;224;470;632;819;2145
02.01.2016;03 - 04;208;464;660;892;2224
02.01.2016;04 - 05;192;411;727;927;2257
02.01.2016;05 - 06;193;391;792;954;2330
02.01.2016;06 - 07;178;383;916;1023;2500
02.01.2016;07 - 08;174;356;990;1077;2597
02.01.2016;08 - 09;155;340;1023;1090;2608
02.01.2016;09 - 10;144;336;998;1101;2580
02.01.2016;10 - 11;129;415;960;1071;2575
02.01.2016;11 - 12;122;411;915;1060;2508
02.01.2016;12 - 13;114;448;839;1027;2429
02.01.2016;13 - 14;114;386;818;1015;2333
02.01.2016;14 - 15;95;383;813;1017;2307
02.01.2016;15 - 16;97;352;790;1010;2249
02.01.2016;16 - 17;95;343;793;1034;2266
02.01.2016;17 - 18;87;330;806;1077;2299
02.01.2016;18 - 19;88;327;802;1093;2311
02.01.2016;19 - 20;81;305;793;1074;2253
02.01.2016;20 - 21;83;296;775;1045;2200
02.01.2016;21 - 22;90;309;774;1030;2204
02.01.2016;22 - 23;87;305;724;1004;2121
