Wind power SE in MWh;;;;;;
Data was last updated 08-02-2017;;;;;;
;Hours;SE1;SE2;SE3;SE4;SE
01.01.2015;00 - 01;;;;;
01.01.2015;01 - 02;;;;;
01.01.2015;02 - 03;;;;;
01.01.2015;03 - 04;;;;;
01.01.2015;04 - 05;;;;;
01.01.2015;05 - 06;;;;;
01.01.2015;06 - 07;;;;;
01.01.2015;07 - 08;;;;;
01.01.2015;08 - 09;;;;;
01.01.2015;09 - 10;;;;;
01.01.2015;10 - 11;;;;;
01.01.2015;11 - 12;;;;;
01.01.2015;12 - 13;;;;;
01.01.2015;13 - 14;;;;;
01.01.2015;14 - 15;;;;;
01.01.2015;15 - 16;;;;;
01.01.2015;16 - 17;;;;;
01.01.2015;17 - 18;;;;;
01.01.2015;18 - 19;;;;;
01.01.2015;19 - 20;;;;;
01.01.2015;20 - 21;;;;;
01.01.2015;21 - 22;;;;;
01.01.2015;22 - 23;;;;;
01.01.2015;23 - 00;;;;;
02.01.2015;00 - 01;;;;;
02.01.2015;01 - 02;;;;;
02.01.2015;02 - 03;;;;;
02.01.2015;03 - 04;;;;;
02.01.2015;04 - 05;;;;;
02.01.2015;05 - 06;;;;;
02.01.2015;06 - 07;;;;;
02.01.2015;07 - 08;;;;;
02.01.2015;08 - 09;;;;;
02.01.2015;09 - 10;;;;;
02.01.2015;10 - 11;;;;;
02.01.2015;11 - 12;;;;;
02.01.2015;12 - 13;;;;;
02.01.2015;13 - 14;;;;;
02.01.2015;14 - 15;;;;;
02.01.2015;15 - 16;;;;;
02.01.2015;16 - 17;;;;;
02.01.2015;17 - 18;;;;;
02.01.2015;18 - 19;;;;;
02.01.2015;19 - 20;;;;;
02.01.2015;20 - 21;;;;;
02.01.2015;21 - 22;;;;;
02.01.2015;22 - 23;;;;;
02.01.2015;23 - 00;;;;;
03.01.2015;00 - 01;;;;;
03.01.2015;01 - 02;;;;;
03.01.2015;02 - 03;;;;;
03.01.2015;03 - 04;;;;;
03.01.2015;04 - 05;;;;;
03.01.2015;05 - 06;;;;;
03.01.2015;06 - 07;;;;;
03.01.2015;07 - 08;;;;;
03.01.2015;08 - 09;;;;;
03.01.2015;09 - 10;;;;;
03.01.2015;10 - 11;;;;;
03.01.2015;11 - 12;;;;;
03.01.2015;12 - 13;;;;;
03.01.2015;13 - 14;;;;;
03.01.2015;14 - 15;;;;;
03.01.2015;15 - 16;;;;;
03.01.2015;16 - 17;;;;;
03.01.2015;17 - 18;;;;;
03.01.2015;18 - 19;;;;;
03.01.2015;19 - 20;;;;;
03.01.2015;20 - 21;;;;;
03.01.2015;21 - 22;;;;;
03.01.2015;22 - 23;;;;;
03.01.2015;23 - 00;;;;;
04.01.2015;00 - 01;;;;;
04.01.2015;01 - 02;;;;;
04.01.2015;02 - 03;;;;;
04.01.2015;03 - 04;;;;;
04.01.2015;04 - 05;;;;;
04.01.2015;05 - 06;;;;;
04.01.2015;06 - 07;;;;;
04.01.2015;07 - 08;;;;;
04.01.2015;08 - 09;;;;;
04.01.2015;09 - 10;;;;;
04.01.2015;10 - 11;;;;;
04.01.2015;11 - 12;;;;;
04.01.2015;12 - 13;;;;;
04.01.2015;13 - 14;;;;;
04.01.2015;14 - 15;;;;;
04.01.2015;15 - 16;;;;;
04.01.2015;16 - 17;;;;;
04.01.2015;17 - 18;;;;;
04.01.2015;18 - 19;;;;;
04.01.2015;19 - 20;;;;;
04.01.2015;20 - 21;;;;;
04.01.2015;21 - 22;;;;;
04.01.2015;22 - 23;;;;;
04.01.2015;23 - 00;;;;;
05.01.2015;00 - 01;;;;;
05.01.2015;01 - 02;;;;;
05.01.2015;02 - 03;;;;;
05.01.2015;03 - 04;;;;;
05.01.2015;04 - 05;;;;;
05.01.2015;05 - 06;;;;;
05.01.2015;06 - 07;;;;;
05.01.2015;07 - 08;;;;;
05.01.2015;08 - 09;;;;;
05.01.2015;09 - 10;;;;;
05.01.2015;10 - 11;;;;;
05.01.2015;11 - 12;;;;;
05.01.2015;12 - 13;;;;;
05.01.2015;13 - 14;;;;;
05.01.2015;14 - 15;;;;;
05.01.2015;15 - 16;;;;;
05.01.2015;16 - 17;;;;;
05.01.2015;17 - 18;;;;;
05.01.2015;18 - 19;;;;;
05.01.2015;19 - 20;;;;;
05.01.2015;20 - 21;;;;;
05.01.2015;21 - 22;;;;;
05.01.2015;22 - 23;;;;;
05.01.2015;23 - 00;;;;;
06.01.2015;00 - 01;;;;;
06.01.2015;01 - 02;;;;;
06.01.2015;02 - 03;;;;;
06.01.2015;03 - 04;;;;;
06.01.2015;04 - 05;;;;;
06.01.2015;05 - 06;;;;;
06.01.2015;06 - 07;;;;;
06.01.2015;07 - 08;;;;;
06.01.2015;08 - 09;;;;;
06.01.2015;09 - 10;;;;;
06.01.2015;10 - 11;;;;;
06.01.2015;11 - 12;;;;;
06.01.2015;12 - 13;;;;;
06.01.2015;13 - 14;;;;;
06.01.2015;14 - 15;;;;;
06.01.2015;15 - 16;;;;;
06.01.2015;16 - 17;;;;;
06.01.2015;17 - 18;;;;;
06.01.2015;18 - 19;;;;;
06.01.2015;19 - 20;;;;;
06.01.2015;20 - 21;;;;;
06.01.2015;21 - 22;;;;;
06.01.2015;22 - 23;;;;;
06.01.2015;23 - 00;;;;;
07.01.2015;00 - 01;;;;;
07.01.2015;01 - 02;;;;;
07.01.2015;02 - 03;;;;;
07.01.2015;03 - 04;;;;;
07.01.2015;04 - 05;;;;;
07.01.2015;05 - 06;;;;;
07.01.2015;06 - 07;;;;;
07.01.2015;07 - 08;;;;;
07.01.2015;08 - 09;;;;;
07.01.2015;09 - 10;;;;;
07.01.2015;10 - 11;;;;;
07.01.2015;11 - 12;;;;;
07.01.2015;12 - 13;;;;;
07.01.2015;13 - 14;;;;;
07.01.2015;14 - 15;;;;;
07.01.2015;15 - 16;;;;;
07.01.2015;16 - 17;;;;;
07.01.2015;17 - 18;;;;;
07.01.2015;18 - 19;;;;;
07.01.2015;19 - 20;;;;;
07.01.2015;20 - 21;;;;;
07.01.2015;21 - 22;;;;;
07.01.2015;22 - 23;;;;;
07.01.2015;23 - 00;;;;;
08.01.2015;00 - 01;;;;;
08.01.2015;01 - 02;;;;;
08.01.2015;02 - 03;;;;;
08.01.2015;03 - 04;;;;;
08.01.2015;04 - 05;;;;;
08.01.2015;05 - 06;;;;;
08.01.2015;06 - 07;;;;;
08.01.2015;07 - 08;;;;;
08.01.2015;08 - 09;;;;;
08.01.2015;09 - 10;;;;;
08.01.2015;10 - 11;;;;;
08.01.2015;11 - 12;;;;;
08.01.2015;12 - 13;;;;;
08.01.2015;13 - 14;;;;;
08.01.2015;14 - 15;;;;;
08.01.2015;15 - 16;;;;;
08.01.2015;16 - 17;;;;;
08.01.2015;17 - 18;;;;;
08.01.2015;18 - 19;;;;;
08.01.2015;19 - 20;;;;;
08.01.2015;20 - 21;;;;;
08.01.2015;21 - 22;;;;;
08.01.2015;22 - 23;;;;;
08.01.2015;23 - 00;;;;;
09.01.2015;00 - 01;;;;;
09.01.2015;01 - 02;;;;;
09.01.2015;02 - 03;;;;;
09.01.2015;03 - 04;;;;;
09.01.2015;04 - 05;;;;;
09.01.2015;05 - 06;;;;;
09.01.2015;06 - 07;;;;;
09.01.2015;07 - 08;;;;;
09.01.2015;08 - 09;;;;;
09.01.2015;09 - 10;;;;;
09.01.2015;10 - 11;;;;;
09.01.2015;11 - 12;;;;;
09.01.2015;12 - 13;;;;;
09.01.2015;13 - 14;;;;;
09.01.2015;14 - 15;;;;;
09.01.2015;15 - 16;;;;;
09.01.2015;16 - 17;;;;;
09.01.2015;17 - 18;;;;;
09.01.2015;18 - 19;;;;;
09.01.2015;19 - 20;;;;;
09.01.2015;20 - 21;;;;;
09.01.2015;21 - 22;;;;;
09.01.2015;22 - 23;;;;;
09.01.2015;23 - 00;;;;;
10.01.2015;00 - 01;;;;;
10.01.2015;01 - 02;;;;;
10.01.2015;02 - 03;;;;;
10.01.2015;03 - 04;;;;;
10.01.2015;04 - 05;;;;;
10.01.2015;05 - 06;;;;;
10.01.2015;06 - 07;;;;;
10.01.2015;07 - 08;;;;;
10.01.2015;08 - 09;;;;;
10.01.2015;09 - 10;;;;;
10.01.2015;10 - 11;;;;;
10.01.2015;11 - 12;;;;;
10.01.2015;12 - 13;;;;;
10.01.2015;13 - 14;;;;;
10.01.2015;14 - 15;;;;;
10.01.2015;15 - 16;;;;;
10.01.2015;16 - 17;;;;;
10.01.2015;17 - 18;;;;;
10.01.2015;18 - 19;;;;;
10.01.2015;19 - 20;;;;;
10.01.2015;20 - 21;;;;;
10.01.2015;21 - 22;;;;;
10.01.2015;22 - 23;;;;;
10.01.2015;23 - 00;;;;;
11.01.2015;00 - 01;;;;;
11.01.2015;01 - 02;;;;;
11.01.2015;02 - 03;;;;;
11.01.2015;03 - 04;;;;;
11.01.2015;04 - 05;;;;;
11.01.2015;05 - 06;;;;;
11.01.2015;06 - 07;;;;;
11.01.2015;07 - 08;;;;;
11.01.2015;08 - 09;;;;;
11.01.2015;09 - 10;;;;;
11.01.2015;10 - 11;;;;;
11.01.2015;11 - 12;;;;;
11.01.2015;12 - 13;;;;;
11.01.2015;13 - 14;;;;;
11.01.2015;14 - 15;;;;;
11.01.2015;15 - 16;;;;;
11.01.2015;16 - 17;;;;;
11.01.2015;17 - 18;;;;;
11.01.2015;18 - 19;;;;;
11.01.2015;19 - 20;;;;;
11.01.2015;20 - 21;;;;;
11.01.2015;21 - 22;;;;;
11.01.2015;22 - 23;;;;;
11.01.2015;23 - 00;;;;;
12.01.2015;00 - 01;;;;;
12.01.2015;01 - 02;;;;;
12.01.2015;02 - 03;;;;;
12.01.2015;03 - 04;;;;;
12.01.2015;04 - 05;;;;;
12.01.2015;05 - 06;;;;;
12.01.2015;06 - 07;;;;;
12.01.2015;07 - 08;;;;;
12.01.2015;08 - 09;;;;;
12.01.2015;09 - 10;;;;;
12.01.2015;10 - 11;;;;;
12.01.2015;11 - 12;;;;;
12.01.2015;12 - 13;;;;;
12.01.2015;13 - 14;;;;;
12.01.2015;14 - 15;;;;;
12.01.2015;15 - 16;;;;;
12.01.2015;16 - 17;;;;;
12.01.2015;17 - 18;;;;;
12.01.2015;18 - 19;;;;;
12.01.2015;19 - 20;;;;;
12.01.2015;20 - 21;;;;;
12.01.2015;21 - 22;;;;;
12.01.2015;22 - 23;;;;;
12.01.2015;23 - 00;;;;;
13.01.2015;00 - 01;;;;;
13.01.2015;01 - 02;;;;;
13.01.2015;02 - 03;;;;;
13.01.2015;03 - 04;;;;;
13.01.2015;04 - 05;;;;;
13.01.2015;05 - 06;;;;;
13.01.2015;06 - 07;;;;;
13.01.2015;07 - 08;;;;;
13.01.2015;08 - 09;;;;;
13.01.2015;09 - 10;;;;;
13.01.2015;10 - 11;;;;;
13.01.2015;11 - 12;;;;;
13.01.2015;12 - 13;;;;;
13.01.2015;13 - 14;;;;;
13.01.2015;14 - 15;;;;;
13.01.2015;15 - 16;;;;;
13.01.2015;16 - 17;;;;;
13.01.2015;17 - 18;;;;;
13.01.2015;18 - 19;;;;;
13.01.2015;19 - 20;;;;;
13.01.2015;20 - 21;;;;;
13.01.2015;21 - 22;;;;;
13.01.2015;22 - 23;;;;;
13.01.2015;23 - 00;;;;;
14.01.2015;00 - 01;;;;;
14.01.2015;01 - 02;;;;;
14.01.2015;02 - 03;;;;;
14.01.2015;03 - 04;;;;;
14.01.2015;04 - 05;;;;;
14.01.2015;05 - 06;;;;;
14.01.2015;06 - 07;;;;;
14.01.2015;07 - 08;;;;;
14.01.2015;08 - 09;;;;;
14.01.2015;09 - 10;;;;;
14.01.2015;10 - 11;;;;;
14.01.2015;11 - 12;;;;;
14.01.2015;12 - 13;;;;;
14.01.2015;13 - 14;;;;;
14.01.2015;14 - 15;;;;;
14.01.2015;15 - 16;;;;;
14.01.2015;16 - 17;;;;;
14.01.2015;17 - 18;;;;;
14.01.2015;18 - 19;;;;;
14.01.2015;19 - 20;;;;;
14.01.2015;20 - 21;;;;;
14.01.2015;21 - 22;;;;;
14.01.2015;22 - 23;;;;;
14.01.2015;23 - 00;;;;;
15.01.2015;00 - 01;;;;;
15.01.2015;01 - 02;;;;;
15.01.2015;02 - 03;;;;;
15.01.2015;03 - 04;;;;;
15.01.2015;04 - 05;;;;;
15.01.2015;05 - 06;;;;;
15.01.2015;06 - 07;;;;;
15.01.2015;07 - 08;;;;;
15.01.2015;08 - 09;;;;;
15.01.2015;09 - 10;;;;;
15.01.2015;10 - 11;;;;;
15.01.2015;11 - 12;;;;;
15.01.2015;12 - 13;;;;;
15.01.2015;13 - 14;;;;;
15.01.2015;14 - 15;;;;;
15.01.2015;15 - 16;;;;;
15.01.2015;16 - 17;;;;;
15.01.2015;17 - 18;;;;;
15.01.2015;18 - 19;;;;;
15.01.2015;19 - 20;;;;;
15.01.2015;20 - 21;;;;;
15.01.2015;21 - 22;;;;;
15.01.2015;22 - 23;;;;;
15.01.2015;23 - 00;;;;;
16.01.2015;00 - 01;;;;;
16.01.2015;01 - 02;;;;;
16.01.2015;02 - 03;;;;;
16.01.2015;03 - 04;;;;;
16.01.2015;04 - 05;;;;;
16.01.2015;05 - 06;;;;;
16.01.2015;06 - 07;;;;;
16.01.2015;07 - 08;;;;;
16.01.2015;08 - 09;;;;;
16.01.2015;09 - 10;;;;;
16.01.2015;10 - 11;;;;;
16.01.2015;11 - 12;;;;;
16.01.2015;12 - 13;;;;;
16.01.2015;13 - 14;;;;;
16.01.2015;14 - 15;;;;;
16.01.2015;15 - 16;;;;;
16.01.2015;16 - 17;;;;;
16.01.2015;17 - 18;;;;;
16.01.2015;18 - 19;;;;;
16.01.2015;19 - 20;;;;;
16.01.2015;20 - 21;;;;;
16.01.2015;21 - 22;;;;;
16.01.2015;22 - 23;;;;;
16.01.2015;23 - 00;;;;;
17.01.2015;00 - 01;;;;;
17.01.2015;01 - 02;;;;;
17.01.2015;02 - 03;;;;;
17.01.2015;03 - 04;;;;;
17.01.2015;04 - 05;;;;;
17.01.2015;05 - 06;;;;;
17.01.2015;06 - 07;;;;;
17.01.2015;07 - 08;;;;;
17.01.2015;08 - 09;;;;;
17.01.2015;09 - 10;;;;;
17.01.2015;10 - 11;;;;;
17.01.2015;11 - 12;;;;;
17.01.2015;12 - 13;;;;;
17.01.2015;13 - 14;;;;;
17.01.2015;14 - 15;;;;;
17.01.2015;15 - 16;;;;;
17.01.2015;16 - 17;;;;;
17.01.2015;17 - 18;;;;;
17.01.2015;18 - 19;;;;;
17.01.2015;19 - 20;;;;;
17.01.2015;20 - 21;;;;;
17.01.2015;21 - 22;;;;;
17.01.2015;22 - 23;;;;;
17.01.2015;23 - 00;;;;;
18.01.2015;00 - 01;;;;;
18.01.2015;01 - 02;;;;;
18.01.2015;02 - 03;;;;;
18.01.2015;03 - 04;;;;;
18.01.2015;04 - 05;;;;;
18.01.2015;05 - 06;;;;;
18.01.2015;06 - 07;;;;;
18.01.2015;07 - 08;;;;;
18.01.2015;08 - 09;;;;;
18.01.2015;09 - 10;;;;;
18.01.2015;10 - 11;;;;;
18.01.2015;11 - 12;;;;;
18.01.2015;12 - 13;;;;;
18.01.2015;13 - 14;;;;;
18.01.2015;14 - 15;;;;;
18.01.2015;15 - 16;;;;;
18.01.2015;16 - 17;;;;;
18.01.2015;17 - 18;;;;;
18.01.2015;18 - 19;;;;;
18.01.2015;19 - 20;;;;;
18.01.2015;20 - 21;;;;;
18.01.2015;21 - 22;;;;;
18.01.2015;22 - 23;;;;;
18.01.2015;23 - 00;;;;;
19.01.2015;00 - 01;;;;;
19.01.2015;01 - 02;;;;;
19.01.2015;02 - 03;;;;;
19.01.2015;03 - 04;;;;;
19.01.2015;04 - 05;;;;;
19.01.2015;05 - 06;;;;;
19.01.2015;06 - 07;;;;;
19.01.2015;07 - 08;;;;;
19.01.2015;08 - 09;;;;;
19.01.2015;09 - 10;;;;;
19.01.2015;10 - 11;;;;;
19.01.2015;11 - 12;;;;;
19.01.2015;12 - 13;;;;;
19.01.2015;13 - 14;;;;;
19.01.2015;14 - 15;;;;;
19.01.2015;15 - 16;;;;;
19.01.2015;16 - 17;;;;;
19.01.2015;17 - 18;;;;;
19.01.2015;18 - 19;;;;;
19.01.2015;19 - 20;;;;;
19.01.2015;20 - 21;;;;;
19.01.2015;21 - 22;;;;;
19.01.2015;22 - 23;;;;;
19.01.2015;23 - 00;;;;;
20.01.2015;00 - 01;;;;;
20.01.2015;01 - 02;;;;;
20.01.2015;02 - 03;;;;;
20.01.2015;03 - 04;;;;;
20.01.2015;04 - 05;;;;;
20.01.2015;05 - 06;;;;;
20.01.2015;06 - 07;;;;;
20.01.2015;07 - 08;;;;;
20.01.2015;08 - 09;;;;;
20.01.2015;09 - 10;;;;;
20.01.2015;10 - 11;;;;;
20.01.2015;11 - 12;;;;;
20.01.2015;12 - 13;;;;;
20.01.2015;13 - 14;;;;;
20.01.2015;14 - 15;;;;;
20.01.2015;15 - 16;;;;;
