Consumption SE areas in MWh;;;;;;
Data was last updated 01-01-2019;;;;;;
;Hours;SE1;SE2;SE3;SE4;SE
01.01.2017;00 - 01;1031;2413;8375;2388;14208
01.01.2017;01 - 02;1065;2278;8257;2342;13942
01.01.2017;02 - 03;1090;2225;8097;2291;13703
01.01.2017;03 - 04;1130;2242;8069;2189;13630
01.01.2017;04 - 05;1115;2302;7953;2155;13525
01.01.2017;05 - 06;1131;2315;7979;2159;13584
01.01.2017;06 - 07;1111;2328;8080;2228;13748
01.01.2017;07 - 08;985;2384;8293;2352;14013
01.01.2017;08 - 09;1055;2305;8484;2427;14271
01.01.2017;09 - 10;1112;2347;8718;2470;14647
01.01.2017;10 - 11;1079;2441;9167;2624;15311
01.01.2017;11 - 12;1115;2459;9516;2792;15882
01.01.2017;12 - 13;1201;2368;9711;2927;16207
01.01.2017;13 - 14;1204;2417;9912;2922;16455
01.01.2017;14 - 15;1353;2580;10009;2839;16780
01.01.2017;15 - 16;1298;2516;10518;2941;17273
01.01.2017;16 - 17;1296;2573;10956;3106;17931
01.01.2017;17 - 18;1330;2460;11069;3168;18027
01.01.2017;18 - 19;1327;2400;11026;3093;17846
01.01.2017;19 - 20;1256;2439;10853;3024;17572
01.01.2017;20 - 21;1182;2445;10603;2929;17159
01.01.2017;21 - 22;1195;2289;10346;2815;16645
01.01.2017;22 - 23;1162;2182;10032;2749;16124
01.01.2017;23 - 00;1190;2289;9602;2663;15745
02.01.2017;00 - 01;1152;2423;9452;2627;15654
02.01.2017;01 - 02;1118;2402;9551;2544;15616
02.01.2017;02 - 03;1136;2449;9550;2529;15663
02.01.2017;03 - 04;1116;2441;9614;2591;15761
02.01.2017;04 - 05;1156;2316;9761;2690;15923
02.01.2017;05 - 06;1308;2312;10204;2867;16692
02.01.2017;06 - 07;1385;2552;11258;3327;18522
02.01.2017;07 - 08;1394;2937;12570;3715;20616
02.01.2017;08 - 09;1440;2970;12986;3855;21251
02.01.2017;09 - 10;1467;2982;13097;3957;21503
02.01.2017;10 - 11;1381;2935;13411;4058;21785
02.01.2017;11 - 12;1295;2916;13456;4025;21692
